x,Red,Green,Blue
940.34,0.17679,0.16013,0.18716
945.894,0.16122,0.14689,0.17425
948.808,0.15444,0.14145,0.16779
953.401,0.14562,0.13607,0.15785
954.747,0.14333,0.13426,0.15499
956.403,0.1406,0.13163,0.15151
963.983,0.12864,0.11802,0.13626
964.997,0.12708,0.11623,0.13429
968.603,0.12153,0.11064,0.12732
971.632,0.11688,0.10606,0.12156
981.354,0.10157,0.091,0.10364
990.551,0.08481,0.07664,0.08786
994.579,0.06993,0.07042,0.08123
996.855,0.07164,0.06693,0.07752
